pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,sy_dist
"TOI-5789 c","TOI-5789","Transit",,12.92774800000,2.86000000,5.00000000,20.45810000
"LHS 1903 e","LHS 1903","Transit",2026,29.31773000000,1.73200000,5.79000000,35.69170000
"TOI-1080 b","TOI-1080","Transit",2026,3.96524820000,1.20000000,10.70000000,25.55900000
"TIC 147027702 b","TIC 147027702","Transit",2026,44.40523000000,10.92875618,346.43296363,457.18600000
"TIC 245076932 b","TIC 245076932","Transit",2026,21.61389000000,10.87271128,162.09248757,303.96000000
"TIC 183374187 b","TIC 183374187","Transit",2026,5.05907000000,14.03364384,177.98390792,1208.75000000
"TOI-6692 b","TOI-6692","Transit",2026,131.12500000000,11.67975789,197.05361234,312.90300000
"TIC 87422071 b","TIC 87422071","Transit",2026,11.36492900000,10.86150230,409.99864503,384.75800000
"TOI-5624 b","TOI-5624","Transit",2026,3.39034730000,2.31400000,9.40000000,101.91300000
"TOI-5624 c","TOI-5624","Transit",2026,7.88538500000,2.47400000,4.80000000,101.91300000
"TOI-5624 e","TOI-5624","Transit",2026,21.48993600000,3.24700000,8.90000000,101.91300000
"TOI-5292 A b","TOI-5292 A","Transit",2026,2.02191000000,12.64373023,412.85910069,337.09500000
"TOI-5349 b","TOI-5349","Transit",2026,3.31792100000,10.20000000,127.40000000,188.33600000
"TOI-5422 b","TOI-5422","Transit",2026,5.37721900000,9.10169233,8899.19539600,346.14100000
"TOI-5624 d","TOI-5624","Transit",2026,13.73146800000,3.58400000,4.90000000,101.91300000
"TOI-201 d","TOI-201","Transit",2026,5.84889000000,1.39000000,5.80000000,113.82500000
"TOI-5734 b","TOI-5734","Transit",2026,6.18418760000,2.10000000,9.10000000,32.51020000
"TOI-5788 c","TOI-5788","Transit",2026,16.21336200000,2.27200000,6.40000000,97.61400000
"TOI-5788 b","TOI-5788","Transit",2026,6.34075800000,1.52800000,3.72000000,97.61400000
"TOI-5916 b","TOI-5916","Transit",2026,2.36712800000,11.35469745,226.61165419,199.72400000
"TOI-4311 c","TOI-4311","Transit",2026,15.07042500000,2.47000000,13.58000000,134.98800000
"TOI-4311 b","TOI-4311","Transit",2026,0.99027380000,1.37600000,4.50000000,134.98800000
"TOI-4495 b","TOI-4495","Transit",2026,2.56699000000,2.48300000,7.70000000,132.21400000
"TOI-4529 b","TOI-4529","Transit",2026,5.87957700000,1.77000000,4.90000000,28.38400000
"TOI-4552 b","TOI-4552","Transit",2026,0.30110032000,1.11000000,1.83000000,27.26840000
"TOI-5007 b","TOI-5007","Transit",2026,2.54337100000,11.07447293,211.03806225,203.35200000
"TOI-3457 b","TOI-3457","Transit",2026,32.60026800000,10.64000000,797.74930157,370.66600000
"TOI-3862 b","TOI-3862","Transit",2026,1.55745774000,5.53000000,53.70000000,249.02000000
"TOI-2431 b","TOI-2431","Transit",2026,0.22419578000,1.53400000,6.20000000,36.05590000
"TOI-1232 b","TOI-1232","Transit",2026,14.25600000000,10.92875618,220.57291446,328.60400000
"TOI-1243 b","TOI-1243","Transit",2026,4.65947790000,2.33000000,7.70000000,43.18650000
"LHS 1903 c","LHS 1903","Transit",2026,6.22618500000,2.04600000,4.55000000,35.69170000
"LHS 1903 b","LHS 1903","Transit",2026,2.15550980000,1.38200000,3.28000000,35.69170000
"LHS 1903 d","LHS 1903","Transit",2026,12.56628700000,2.50000000,5.96000000,35.69170000
"TOI-159 b","TOI-159","Transit",2026,3.76283960000,18.18000000,1110.00000000,347.59300000
"TOI-375 b","TOI-375","Transit",2026,9.45469000000,10.77183045,236.78216321,396.21300000
"TOI-4336 A c","TOI-4336 A","Transit",2026,7.58726600000,1.25100000,1.55000000,22.54550000
"WASP-188 b","WASP-188","Transit",2025,5.74891600000,14.81827249,458.62639130,675.28100000
"TOI-5210 b","TOI-5210","Transit",2025,4.56610610000,10.72699453,81.99972901,302.08600000
"NGTS-31 b","NGTS-31","Transit",2025,4.16273400000,18.04645893,355.96781584,497.37600000
"TOI-2876 b","TOI-2876","Transit",2025,6.29964310000,9.63972340,54.03082919,225.74400000
"TOI-2886 b","TOI-2886","Transit",2025,1.60200105000,18.64053490,444.95976980,413.67300000
"TOI-2969 b","TOI-2969","Transit",2025,1.82371460000,12.32987877,368.68095212,163.99600000
"TOI-2986 b","TOI-2986","Transit",2025,3.27836620000,9.29224500,96.61983573,563.14900000
"TOI-2989 b","TOI-2989","Transit",2025,3.12283200000,12.55405838,953.48522100,195.79500000
"TOI-2992 b","TOI-2992","Transit",2025,3.00781200000,13.75341932,1058.36859531,542.02600000
"TOI-3135 b","TOI-3135","Transit",2025,3.70655850000,13.65253849,327.36325921,221.67300000
"TOI-3160 A b","TOI-3160 A","Transit",2025,3.97128100000,13.76462830,378.21580433,567.67800000
"TOI-3288 b","TOI-3288","Transit",2025,1.43386470000,12.24020692,536.17652261,200.50000000
"TOI-3464 b","TOI-3464","Transit",2025,3.65155680000,13.76462830,397.28550875,597.77400000
"TOI-3474 b","TOI-3474","Transit",2025,3.87951050000,14.67255574,193.87532827,420.12300000
"TOI-3486 b","TOI-3486","Transit",2025,2.21778105000,10.57006880,99.16246298,154.71500000
"TOI-3493 b","TOI-3493","Transit",2025,8.15946670000,3.22000000,8.97000000,96.72240000
"TOI-3523 A b","TOI-3523 A","Transit",2025,2.30458952000,15.97279750,435.42491759,645.29400000
"TOI-3593 b","TOI-3593","Transit",2025,3.82128670000,11.02963701,565.73456446,226.63000000
"TOI-3682 b","TOI-3682","Transit",2025,3.34624060000,12.80065596,69.28659273,404.21100000
"WASP-194 b","WASP-194","Transit",2025,3.18338700000,15.47960235,373.13054982,476.83100000
"TOI-3837 b","TOI-3837","Transit",2025,11.88865000000,10.87271128,187.51876013,311.70500000
